Date of Census,Total Individuals in Shelter,Families with Children in Shelter,Total Single Adults in Shelter,Adult Families in Shelter
04/02/2017,58793,12584,13770,2496
04/03/2017,58983,12605,13913,2487
04/04/2017,58963,12594,13888,2505
04/05/2017,58965,12585,13914,2512
04/06/2017,58881,12552,13959,2501
04/07/2017,58803,12542,13925,2500
04/08/2017,58790,12541,13908,2497
04/09/2017,58872,12553,13939,2495
04/10/2017,58918,12557,13935,2508
04/11/2017,58869,12560,13918,2496
04/12/2017,58793,12529,13925,2501
04/18/2017,58835,12478,14020,2529
04/19/2017,58921,12497,14060,2533
04/20/2017,58930,12511,14032,2536
04/21/2017,58860,12501,13963,2550
04/22/2017,58927,12516,13970,2548
04/23/2017,59031,12546,14000,2545
04/24/2017,59051,12536,14026,2557
04/25/2017,59038,12536,14035,2532
04/26/2017,59011,12530,14012,2542
04/27/2017,59059,12556,14002,2542
04/28/2017,58927,12562,13897,2533
04/29/2017,58756,12509,13888,2521
04/30/2017,58878,12508,13971,2540
05/01/2017,58892,12527,13925,2543
05/02/2017,58702,12479,13966,2498
05/03/2017,58803,12502,13970,2512
05/04/2017,58704,12484,13965,2488
05/05/2017,58543,12452,13940,2478
05/06/2017,58506,12443,13911,2486
05/07/2017,58644,12454,13986,2485
05/08/2017,58753,12472,14010,2494
05/09/2017,58721,12460,13994,2493
05/10/2017,58745,12492,13939,2498
05/11/2017,58750,12488,13985,2494
05/12/2017,58646,12456,13964,2498
05/13/2017,58695,12469,14000,2491
05/15/2017,58619,12437,13988,2498
05/16/2017,58634,12435,14035,2493
05/17/2017,58809,12489,14045,2500
05/18/2017,58667,12454,13994,2499
05/19/2017,58621,12457,13962,2501
05/20/2017,58693,12482,13987,2496
05/21/2017,58703,12476,14021,2504
05/22/2017,58716,12463,14064,2496
05/23/2017,58581,12436,14038,2481
05/28/2017,58541,12476,13960,2465
05/29/2017,58550,12456,14045,2458
05/30/2017,58505,12430,14079,2459
05/31/2017,58412,12413,14058,2455
06/01/2017,58261,12419,13950,2452
06/02/2017,58322,12443,13887,2465
06/03/2017,58200,12408,13882,2457
06/01/2017,58261,12419,13950,2452
06/02/2017,58322,12443,13887,2465
06/03/2017,58200,12408,13882,2457
06/04/2017,58349,12426,13980,2462
06/01/2017,58261,12419,13950,2452
06/02/2017,58322,12443,13887,2465
06/03/2017,58200,12408,13882,2457
06/04/2017,58349,12426,13980,2462
06/05/2017,58474,12433,14040,2473
06/06/2017,58302,12406,13934,2474
06/06/2017,58302,12406,13934,2474
06/07/2017,58463,12433,14052,2473
06/08/2017,58381,12398,14078,2480
06/09/2017,58298,12411,14003,2470
06/10/2017,58210,12393,13939,2476
06/11/2017,58257,12401,13964,2470
06/12/2017,58238,12400,13963,2469
06/13/2017,58168,12362,13968,2477
06/14/2017,58264,12396,13974,2479
06/15/2017,58250,12386,13997,2474
06/16/2017,58195,12398,13923,2460
06/17/2017,58180,12388,13943,2461
06/18/2017,58284,12414,13953,2467
06/19/2017,58404,12422,14023,2469
06/20/2017,58218,12375,14008,2473
06/21/2017,58245,12394,13998,2470
06/25/2017,58290,12406,13973,2471
06/26/2017,58273,12407,13966,2460
06/27/2017,58351,12404,14043,2448
06/28/2017,58369,12439,13985,2449
06/29/2017,58371,12443,13980,2444
06/30/2017,58159,12439,13838,2431
07/01/2017,58141,12418,13835,2432
07/02/2017,58134,12388,13888,2437
07/03/2017,58101,12371,13877,2450
07/04/2017,57937,12349,13804,2438
07/05/2017,58128,12365,13903,2459
07/06/2017,58160,12368,13949,2452
07/07/2017,58153,12382,13887,2456
07/08/2017,58157,12398,13833,2452
07/09/2017,58250,12387,13931,2463
07/10/2017,58273,12393,13937,2465
07/11/2017,58271,12385,13935,2475
07/12/2017,58319,12395,13948,2467
07/13/2017,58257,12384,13934,2467
07/14/2017,58356,12428,13914,2469
07/15/2017,58376,12448,13885,2468
07/16/2017,58479,12452,13957,2469
07/17/2017,58483,12435,14009,2469
07/18/2017,58417,12421,14016,2462
07/19/2017,58482,12442,13997,2469
07/20/2017,58498,12431,14037,2466
07/21/2017,58438,12435,13966,2477
07/22/2017,58450,12452,13939,2480
07/23/2017,58490,12438,14010,2486
07/24/2017,58491,12417,14049,2489
07/25/2017,58515,12416,14061,2486
07/26/2017,58575,12431,14079,2488
07/27/2017,58595,12433,14081,2492
07/28/2017,58513,12431,13981,2495
07/29/2017,58491,12423,13986,2494
07/30/2017,58553,12429,14033,2493
07/31/2017,58574,12423,14037,2503
08/01/2017,58365,12379,13957,2501
08/02/2017,58448,12393,14025,2507
08/03/2017,58528,12424,13976,2509
08/04/2017,58519,12429,13928,2512
08/05/2017,58562,12444,13933,2511
08/06/2017,58765,12464,14059,2517
08/07/2017,58803,12462,14116,2509
08/08/2017,58728,12435,14120,2504
08/09/2017,58675,12431,14095,2508
08/10/2017,58836,12482,14110,2513
08/11/2017,58733,12476,14026,2519
08/12/2017,58752,12480,14022,2521
08/13/2017,58916,12508,14108,2515
08/14/2017,58979,12504,14158,2525
08/15/2017,58975,12501,14168,2526
08/16/2017,59114,12529,14178,2533
08/17/2017,58945,12501,14163,2511
08/18/2017,58876,12500,14076,2516
08/19/2017,58802,12484,14057,2516
08/20/2017,58957,12502,14128,2522
08/21/2017,59052,12518,14167,2527
08/22/2017,58992,12510,14132,2519
08/23/2017,59071,12531,14148,2520
08/24/2017,59126,12542,14163,2518
08/25/2017,59112,12558,14123,2513
08/26/2017,59027,12545,14121,2509
08/27/2017,59103,12541,14221,2506
08/28/2017,59271,12584,14228,2513
08/29/2017,59311,12575,14246,2530
08/30/2017,59512,12642,14240,2528
08/31/2017,59502,12640,14267,2514
09/01/2017,59352,12666,14061,2507
09/02/2017,59271,12650,14059,2495
09/03/2017,59480,12676,14160,2506
09/04/2017,59401,12639,14187,2498
09/05/2017,59556,12683,14193,2498
09/06/2017,59514,12656,14211,2488
09/07/2017,59575,12687,14178,2502
09/08/2017,59597,12687,14142,2512
09/09/2017,59530,12685,14088,2510
09/10/2017,59625,12693,14184,2509
09/11/2017,59832,12736,14181,2526
09/12/2017,59775,12716,14198,2529
09/13/2017,59812,12728,14212,2525
09/14/2017,59863,12734,14215,2532
09/15/2017,59811,12737,14168,2529
09/16/2017,59835,12747,14136,2533
09/17/2017,59971,12766,14215,2534
09/18/2017,59882,12732,14228,2535
09/19/2017,59966,12755,14251,2517
09/19/2017,59966,12755,14251,2517
09/20/2017,60019,12776,14240,2526
09/21/2017,60116,12805,14254,2528
09/22/2017,60040,12805,14181,2521
09/23/2017,60114,12839,14149,2517
09/24/2017,60111,12807,14244,2520
09/25/2017,60021,12774,14271,2520
09/26/2017,60056,12796,14264,2524
09/27/2017,60094,12818,14253,2521
09/28/2017,60143,12843,14259,2513
09/29/2017,59922,12812,14113,2514
09/30/2017,59889,12795,14165,2511
10/01/2017,60097,12851,14195,2507
10/02/2017,60045,12818,14220,2500
10/03/2017,60148,12843,14229,2497
10/04/2017,60214,12838,14296,2509
10/05/2017,60051,12799,14292,2496
10/06/2017,60050,12822,14187,2500
10/07/2017,59885,12797,14178,2484
10/08/2017,60010,12801,14288,2486
10/09/2017,60089,12804,14337,2486
10/10/2017,60237,12845,14331,2495
10/11/2017,60350,12866,14383,2496
10/12/2017,60334,12857,14388,2505
10/13/2017,60317,12863,14341,2504
10/14/2017,60147,12857,14231,2491
10/15/2017,60335,12899,14292,2495
10/16/2017,60436,12914,14348,2504
10/17/2017,60305,12907,14209,2515
10/18/2017,60525,12935,14342,2518
10/19/2017,60525,12954,14346,2511
10/20/2017,60447,12945,14263,2512
10/21/2017,60519,12963,14271,2504
10/22/2017,60537,12944,14363,2499
10/23/2017,60358,12895,14367,2496
10/24/2017,60381,12895,14388,2509
10/25/2017,60452,12914,14367,2516
10/26/2017,60457,12912,14395,2511
10/27/2017,60216,12884,14293,2498
10/28/2017,60182,12870,14280,2497
10/29/2017,60310,12879,14367,2504
10/30/2017,60351,12887,14402,2497
10/31/2017,60178,12845,14357,2497
11/01/2017,60109,12837,14314,2495
11/02/2017,59993,12799,14325,2500
11/05/2017,60066,12818,14338,2496
11/06/2017,60265,12869,14370,2506
11/07/2017,60217,12837,14433,2506
11/08/2017,60279,12864,14435,2505
11/09/2017,60218,12841,14446,2501
11/10/2017,60248,12860,14450,2494
11/11/2017,60078,12829,14380,2481
11/12/2017,60287,12866,14443,2489
11/13/2017,60305,12847,14517,2492
11/14/2017,60325,12834,14527,2501
11/15/2017,60352,12842,14507,2514
11/16/2017,60381,12844,14552,2503
11/18/2017,60163,12789,14529,2502
11/19/2017,60208,12806,14503,2509
11/20/2017,60363,12825,14560,2517
11/21/2017,60368,12833,14575,2511
11/22/2017,60316,12832,14551,2507
11/23/2017,60215,12833,14466,2504
11/24/2017,60261,12820,14526,2507
11/25/2017,60113,12773,14523,2503
11/26/2017,60179,12762,14594,2508
11/27/2017,60279,12785,14625,2509
11/28/2017,60341,12799,14635,2516
11/29/2017,60375,12792,14658,2526
11/30/2017,60230,12773,14636,2522
12/01/2017,60149,12784,14516,2510
12/02/2017,60164,12794,14546,2489
12/03/2017,60288,12810,14612,2498
12/04/2017,60348,12826,14595,2512
12/05/2017,60331,12810,14608,2507
12/06/2017,60535,12844,14714,2506
12/07/2017,60452,12827,14691,2506
12/08/2017,60341,12809,14653,2497
12/09/2017,60369,12825,14639,2496
12/10/2017,60508,12848,14681,2503
12/12/2017,60451,12822,14704,2507
12/13/2017,60510,12821,14757,2517
12/14/2017,60593,12826,14784,2524
12/15/2017,60585,12833,14734,2532
12/16/2017,60447,12819,14670,2520
12/17/2017,60509,12815,14728,2520
12/18/2017,60480,12806,14729,2522
12/19/2017,60358,12772,14727,2516
12/20/2017,60359,12774,14744,2515
12/21/2017,60383,12785,14735,2530
12/22/2017,60308,12765,14701,2517
12/23/2017,60176,12744,14639,2517
12/24/2017,60207,12755,14638,2516
11/12/2013,51236,10572,10080,1885
11/19/2013,51383,10626,10025,1887
11/30/2013,51031,10593,9829,1874
02/21/2014,52093,10732,10266,1898
07/02/2014,53635,11230,10342,1910
07/28/2014,54860,11465,10605,1985
02/03/2015,58485,12082,11691,2167
03/11/2015,57821,11879,11828,2163
12/25/2017,60286,12774,14672,2518
12/26/2017,60228,12742,14729,2523
12/27/2017,60033,12684,14718,2512
12/28/2017,60079,12710,14708,2513
12/29/2017,60050,12722,14666,2513
12/30/2017,60017,12716,14657,2503
12/31/2017,59933,12707,14576,2507
01/01/2018,60099,12721,14683,2516
01/02/2018,60126,12706,14759,2516
01/03/2018,59843,12619,14731,2507
01/04/2018,60097,12691,14767,2516
01/05/2018,59920,12638,14737,2517
01/06/2018,59892,12644,14713,2504
01/07/2018,60092,12693,14742,2512
01/08/2018,60160,12696,14794,2514
01/09/2018,60044,12664,14810,2505
01/10/2018,60108,12686,14830,2503
01/11/2018,60296,12747,14863,2492
01/12/2018,60213,12744,14736,2494
01/13/2018,60177,12716,14781,2496
01/14/2018,60401,12759,14889,2500
01/15/2018,60480,12777,14884,2505
01/16/2018,60441,12771,14884,2504
01/17/2018,60531,12793,14920,2506
01/18/2018,60560,12775,14962,2530
01/19/2018,60537,12801,14928,2519
01/20/2018,60630,12848,14886,2511
01/21/2018,60703,12847,14958,2511
01/21/2018,60703,12847,14958,2511
01/22/2018,60647,12817,15000,2511
01/23/2018,60732,12835,15020,2502
01/24/2018,60795,12856,15031,2513
01/25/2018,60845,12874,15046,2505
01/26/2018,60843,12876,15027,2505
01/27/2018,60797,12874,15016,2494
01/28/2018,60861,12883,15059,2493
01/29/2018,60903,12870,15058,2516
01/30/2018,60915,12853,15119,2515
01/31/2018,61038,12878,15139,2524
02/01/2018,61029,12894,15125,2512
02/02/2018,60950,12887,15075,2500
02/03/2018,61002,12891,15104,2506
02/04/2018,61025,12889,15127,2509
02/05/2018,61025,12882,15122,2515
02/06/2018,61002,12870,15160,2503
02/07/2018,61075,12872,15208,2514
02/08/2018,60971,12851,15206,2501
02/09/2018,60926,12853,15196,2492
02/10/2018,60716,12812,15124,2488
02/11/2018,60792,12815,15195,2479
02/12/2018,60754,12786,15227,2491
02/13/2018,60760,12779,15259,2489
02/14/2018,60755,12784,15238,2491
02/15/2018,60775,12782,15281,2490
02/16/2018,60593,12760,15210,2487
02/17/2018,60486,12737,15211,2472
02/18/2018,60561,12743,15246,2479
02/19/2018,60552,12725,15297,2483
02/20/2018,60529,12737,15257,2485
02/21/2018,60472,12722,15281,2474
02/22/2018,60570,12739,15307,2477
02/23/2018,60478,12736,15236,2474
02/24/2018,60366,12709,15242,2453
02/25/2018,60427,12702,15290,2461
02/26/2018,60470,12702,15309,2473
02/27/2018,60457,12715,15288,2462
02/28/2018,60443,12718,15225,2466
03/01/2018,60384,12730,15165,2462
03/02/2018,60423,12727,15184,2474
03/03/2018,60284,12707,15159,2458
03/04/2018,60363,12721,15196,2452
03/05/2018,60419,12707,15274,2466
03/06/2018,60394,12696,15241,2461
03/07/2018,60488,12704,15301,2469
03/08/2018,60506,12716,15271,2466
03/09/2018,60355,12680,15245,2465
03/10/2018,60282,12675,15198,2451
03/11/2018,60416,12691,15282,2456
03/12/2018,60449,12676,15295,2480
03/13/2018,60302,12644,15308,2470
