date,home_mean
31/08/13,49686
30/09/13,50286
31/10/13,50833
30/11/13,51123
31/12/13,51015
31/01/14,51470
28/02/14,52144
31/03/14,52234
30/04/14,52681
31/05/14,53098
30/06/14,53602
31/07/14,54305
31/08/14,54834
30/09/14,55839
31/10/14,57153
30/11/14,58210
31/12/14,58745
31/01/15,58531
28/02/15,58235
31/03/15,57671
30/04/15,56996
31/05/15,56634
30/06/15,56214
31/07/15,55966
31/08/15,56460
30/09/15,57064
31/10/15,57346
30/11/15,57767
31/12/15,57855
31/01/16,58140
29/02/16,58182
31/03/16,57847
30/04/16,57827
31/05/16,57896
30/06/16,57791
31/07/16,58076
31/08/16,59042
30/09/16,59591
31/10/16,59969
30/11/16,60492
31/12/16,60382
31/01/17,60218
28/02/17,60077
31/03/17,59562
30/04/17,58905
31/05/17,58660
30/06/17,58286
31/07/17,58357
31/08/17,58915
